,0
0,1000000.0
1,999569.1622857264
2,984944.4396657263
3,962184.6505597263
4,952460.9845477262
5,955483.9513917263
6,962307.6740117262
7,941148.6622857263
8,954351.7619277263
9,931675.5177617263
10,933296.0060357263
11,918837.8068097263
12,925562.2951417263
13,937790.4396657263
14,925709.6174037266
15,942066.2404397263
16,929145.5509757265
17,936405.972821726
18,959412.3185357264
19,958419.2951417263
20,941272.1954997261
21,951893.1622857263
22,956528.5177617262
23,944255.1174037266
24,943315.2291595605
25,943315.2291595605
26,936607.2954843467
27,921842.7838163467
28,940035.0728643467
29,952944.1509603467
30,967874.5064363466
31,965531.2838163467
32,964287.7954843467
33,977550.6509603468
34,966595.5611383468
35,969681.7954843467
36,981995.1275663467
37,978670.6626863466
38,971509.3619123467
39,991727.0064363466
40,993712.9400663467
41,996298.5845903467
42,999944.9947103468
43,1003841.4166143466
44,997470.1392343467
45,999573.2056623467
46,999269.9517343467
47,1011924.3736383468
48,1010926.0016266208
49,1010926.0016266208
50,1014230.7801293947
51,1023263.1472733947
52,1030270.1589993949
53,1031521.1238793947
54,1029125.7918553947
55,1024486.9246533946
56,1025249.0809033946
57,1026389.3699513947
58,1032057.0574513947
59,1036903.0027493949
60,1035071.9246533946
61,1041316.2137013947
62,1038082.7137013947
